split_id,train_start,train_end,test_start,test_end,accuracy,strategy_return,market_return,win_rate,max_drawdown,num_trades
28,2017-11-13 00:00:00,2019-01-04 00:00:00,2019-01-07 00:00:00,2019-05-24 00:00:00,0.46,-0.011204147230312045,-0.023799356868349553,0.08080808080808081,-0.01287100220353632,16
29,2018-04-02 00:00:00,2019-05-24 00:00:00,2019-05-27 00:00:00,2019-10-11 00:00:00,0.51,-0.0029522568810297356,-0.014124773297835236,0.030303030303030304,-0.007751272051462088,8
30,2018-08-20 00:00:00,2019-10-11 00:00:00,2019-10-14 00:00:00,2020-02-28 00:00:00,0.47,-0.005864371538279789,0.00011788603141082987,0.0707070707070707,-0.014462905848489194,13
31,2019-01-07 00:00:00,2020-02-28 00:00:00,2020-03-02 00:00:00,2020-07-17 00:00:00,0.53,0.03350668548670899,0.02572090350845735,0.06060606060606061,-0.010601642728904985,8
32,2019-05-27 00:00:00,2020-07-17 00:00:00,2020-07-20 00:00:00,2020-12-04 00:00:00,0.52,0.010605174839694254,0.05888417116597733,0.13131313131313133,-0.02322022252503841,24
33,2019-10-14 00:00:00,2020-12-04 00:00:00,2020-12-07 00:00:00,2021-04-23 00:00:00,0.54,0.019318473000201397,-0.000933282677281877,0.30303030303030304,-0.02868629211313062,55
34,2020-03-02 00:00:00,2021-04-23 00:00:00,2021-04-26 00:00:00,2021-09-10 00:00:00,0.49,-0.03446172001885006,-0.02261518601880097,0.21212121212121213,-0.04164217052853679,55
35,2020-07-20 00:00:00,2021-09-10 00:00:00,2021-09-13 00:00:00,2022-01-28 00:00:00,0.46,0.012116627678251168,-0.05633731267462583,0.0707070707070707,-0.004544908736897443,13
36,2020-12-07 00:00:00,2022-01-28 00:00:00,2022-01-31 00:00:00,2022-06-17 00:00:00,0.53,0.004969728582750577,-0.06546548685171016,0.010101010101010102,-0.006961330635466667,2
37,2021-04-26 00:00:00,2022-06-17 00:00:00,2022-06-20 00:00:00,2022-11-04 00:00:00,0.53,0.004463569615859031,-0.052665125526795475,0.04040404040404041,-0.016088116339107672,7
38,2021-09-13 00:00:00,2022-11-04 00:00:00,2022-11-07 00:00:00,2023-03-24 00:00:00,0.46,0.0,0.07383970456133504,0.0,0.0,0
39,2022-01-31 00:00:00,2023-03-24 00:00:00,2023-03-27 00:00:00,2023-08-11 00:00:00,0.58,0.003945150934022923,0.01360600924356481,0.030303030303030304,-0.005854164851824816,5
40,2022-06-20 00:00:00,2023-08-11 00:00:00,2023-08-14 00:00:00,2023-12-29 00:00:00,0.48,0.008700912617628065,0.012178346752746094,0.13131313131313133,-0.013842590373168161,22
41,2022-11-07 00:00:00,2023-12-29 00:00:00,2024-01-01 00:00:00,2024-05-17 00:00:00,0.47,-0.015549337288498832,-0.015990583122057145,0.09090909090909091,-0.013621136821642121,19
42,2023-03-27 00:00:00,2024-05-17 00:00:00,2024-05-20 00:00:00,2024-10-04 00:00:00,0.49,0.005744529428949541,0.010562472373655263,0.09090909090909091,-0.01641811199670998,20
43,2023-08-14 00:00:00,2024-10-04 00:00:00,2024-10-07 00:00:00,2025-02-21 00:00:00,0.5,0.004457722034445721,-0.04715081151522349,0.09090909090909091,-0.017843465547047188,20
44,2024-01-01 00:00:00,2025-02-21 00:00:00,2025-02-24 00:00:00,2025-07-11 00:00:00,0.46,0.0,0.11673720514755637,0.0,0.0,0
45,2024-05-20 00:00:00,2025-07-11 00:00:00,2025-07-14 00:00:00,2025-11-28 00:00:00,0.51,0.001027692827950455,-0.0058304038412073655,0.06060606060606061,-0.013145884378194084,11
46,2024-10-07 00:00:00,2025-11-28 00:00:00,2025-12-01 00:00:00,2026-04-17 00:00:00,0.5,0.025283754066815378,0.01309216192937046,0.06060606060606061,-0.0022350210607753867,7
