Date,Open,High,Low,Close,Volume
2024-05-28 21:00:00,0.66532,0.66662,0.66095,0.66104,40018
2024-05-29 21:00:00,0.66114,0.66476,0.65908,0.66333,39526
2024-05-30 21:00:00,0.66366,0.66728,0.66266,0.66536,44477
2024-06-02 21:00:00,0.66547,0.6695,0.66326,0.66894,42605
2024-06-03 21:00:00,0.6682,0.66986,0.6631,0.66498,51492
2024-06-04 21:00:00,0.66487,0.66646,0.66261,0.66477,43101
2024-06-05 21:00:00,0.66487,0.66836,0.66334,0.66665,39791
2024-06-06 21:00:00,0.66665,0.66814,0.6579,0.65802,50724
2024-06-09 21:00:00,0.65804,0.66112,0.65761,0.66109,36246
2024-06-10 21:00:00,0.6611,0.66136,0.65886,0.66058,36797
2024-06-11 21:00:00,0.66078,0.67043,0.65971,0.66631,58416
2024-06-12 21:00:00,0.66648,0.66753,0.66261,0.66364,42925
2024-06-13 21:00:00,0.66346,0.66416,0.65915,0.6615,51466
2024-06-16 21:00:00,0.66078,0.66182,0.65854,0.66126,31612
2024-06-17 21:00:00,0.66104,0.66578,0.66001,0.66564,40785
2024-06-18 21:00:00,0.66552,0.66774,0.66544,0.6672,16404
2024-06-19 21:00:00,0.6673,0.66794,0.66476,0.6656,34263
2024-06-20 21:00:00,0.66542,0.66698,0.66316,0.66406,35112
2024-06-23 21:00:00,0.664,0.66677,0.66262,0.66564,35353
2024-06-24 21:00:00,0.6655,0.66727,0.66352,0.66472,36096
2024-06-25 21:00:00,0.66456,0.66886,0.6636,0.66478,41944
2024-06-26 21:00:00,0.66492,0.66726,0.664,0.66472,36440
2024-06-27 21:00:00,0.6648,0.66845,0.66198,0.66699,48536
2024-06-30 21:00:00,0.66822,0.66892,0.6644,0.66592,42744
2024-07-01 21:00:00,0.66572,0.66707,0.66342,0.66669,47357
2024-07-02 21:00:00,0.66671,0.67336,0.66652,0.67056,42243
2024-07-03 21:00:00,0.67058,0.6732,0.67034,0.67262,25926
2024-07-04 21:00:00,0.6727,0.6753,0.67108,0.6749,52016
2024-07-07 21:00:00,0.67372,0.6761,0.67318,0.67376,46819
2024-07-08 21:00:00,0.6736,0.67478,0.6724,0.67412,49599
