timestamp,instrument,signal,prob_up,confidence,price
2026-05-01T00:57:07.875332,EUR_USD,SELL,0.487421368813467,LOW,1.17288
2026-05-01T00:58:24.566397,EUR_USD,SELL,0.48742136881346687,LOW,1.17284
2026-05-01T01:16:07.750129,EUR_USD,SELL,0.487421368813467,LOW,1.17285
2026-05-01T01:18:52.525166,EUR_USD,SELL,0.48742136881346704,LOW,1.17278
2026-05-01T01:24:52.494612,EUR_USD,SELL,0.487421368813467,LOW,1.17288
2026-05-03T10:47:09.165884,EUR_USD,BUY,0.5095770658942369,LOW,1.17212
2026-05-03T10:58:32.160120,EUR_USD,BUY,0.5081070392195506,LOW,1.17212
2026-05-09T11:22:58.951064,EUR_USD,BUY,0.5127959963407682,LOW,1.17851
2026-05-15T07:14:14.090620,AUD_USD,SELL,0.4938584550448148,LOW,0.71701
2026-05-15T14:42:27.541880,EUR_USD,SELL,0.4747954525766344,LOW,1.16289
2026-05-20T04:54:17.191620,GBP_USD,BUY,0.5937351734784712,MEDIUM,1.33923
2026-05-20T04:54:20.517590,AUD_USD,BUY,0.5906491598020347,MEDIUM,0.71
2026-05-20T04:55:36.112309,GBP_USD,BUY,0.5937351734784713,MEDIUM,1.33927
2026-05-20T04:55:38.691139,AUD_USD,BUY,0.5906491598020347,MEDIUM,0.71005
2026-05-20T05:02:17.724416,GBP_USD,BUY,0.5937351734784712,MEDIUM,1.33978
2026-05-20T05:02:21.145746,AUD_USD,BUY,0.5906491598020348,MEDIUM,0.71047
2026-05-20T05:17:12.661349,GBP_USD,BUY,0.5937351734784712,MEDIUM,1.33935
2026-05-20T05:17:15.584739,AUD_USD,BUY,0.5906491598020348,MEDIUM,0.71
2026-05-22T08:03:08.052446,AUD_USD,BUY,0.6701077127838222,HIGH,0.71329
2026-05-23T12:22:02.492297,EUR_USD,SELL,0.4034193597601391,MEDIUM,1.16023
2026-05-23T12:22:12.783830,AUD_USD,BUY,0.5855097558538754,MEDIUM,0.7128
2026-06-12T04:02:52.964866,EUR_USD,BUY,0.5354905397903964,LOW,1.15719
2026-06-12T04:03:06.606835,USD_JPY,BUY,0.5655902158795855,LOW,160.2315
2026-06-12T21:35:14.607158,USD_JPY,BUY,0.5247212928970209,LOW,160.2285
2026-06-12T21:36:00.680870,EUR_USD,BUY,0.5075738014319243,LOW,1.15669
2026-06-12T21:36:24.959931,EUR_USD,BUY,0.5075738014319243,LOW,1.15669
2026-06-27T12:34:00.624261,EUR_USD,SELL,0.47994018520425996,LOW,1.1385
