Date,Open,High,Low,Close,Volume
2024-05-28 21:00:00,1.0858,1.08608,1.08,1.0801,56892
2024-05-29 21:00:00,1.0803,1.08452,1.07882,1.08322,55967
2024-05-30 21:00:00,1.08302,1.08825,1.08114,1.08486,64466
2024-06-02 21:00:00,1.08504,1.09048,1.08278,1.09043,59097
2024-06-03 21:00:00,1.09034,1.0916,1.0859,1.08792,66584
2024-06-04 21:00:00,1.08815,1.08916,1.08545,1.08693,57261
2024-06-05 21:00:00,1.0871,1.09021,1.0862,1.08898,56592
2024-06-06 21:00:00,1.0891,1.09023,1.07993,1.08017,69167
2024-06-09 21:00:00,1.07699,1.07817,1.07328,1.07658,58584
2024-06-10 21:00:00,1.07649,1.07736,1.07196,1.07406,54984
2024-06-11 21:00:00,1.07395,1.08524,1.07346,1.08092,87675
2024-06-12 21:00:00,1.08082,1.08165,1.07329,1.07384,64324
2024-06-13 21:00:00,1.07369,1.0745,1.06676,1.07028,76315
2024-06-16 21:00:00,1.07068,1.07378,1.06864,1.07338,58430
2024-06-17 21:00:00,1.07334,1.07614,1.07101,1.07392,59177
2024-06-18 21:00:00,1.07402,1.07535,1.07248,1.07436,38610
2024-06-19 21:00:00,1.0744,1.07488,1.0702,1.07026,55164
2024-06-20 21:00:00,1.07023,1.07207,1.0671,1.06927,59949
2024-06-23 21:00:00,1.06891,1.07465,1.06836,1.07338,56180
2024-06-24 21:00:00,1.07324,1.07444,1.06906,1.07143,51587
2024-06-25 21:00:00,1.0712,1.0718,1.0666,1.06801,61050
2024-06-26 21:00:00,1.06814,1.07264,1.0677,1.07038,59143
2024-06-27 21:00:00,1.07056,1.07248,1.06855,1.07131,75234
2024-06-30 21:00:00,1.0744,1.07766,1.07196,1.07401,69224
2024-07-01 21:00:00,1.0738,1.07472,1.071,1.07454,60155
2024-07-02 21:00:00,1.07455,1.08168,1.07364,1.07876,57743
2024-07-03 21:00:00,1.07856,1.08139,1.07837,1.08119,36202
2024-07-04 21:00:00,1.08124,1.08426,1.08,1.08384,65324
2024-07-07 21:00:00,1.08062,1.0845,1.08044,1.08242,61744
2024-07-08 21:00:00,1.08249,1.08334,1.08054,1.08137,59774
2024-07-09 21:00:00,1.08144,1.08308,1.08109,1.08302,53829
2024-07-10 21:00:00,1.083,1.09,1.0828,1.08679,95972
2024-07-11 21:00:00,1.08668,1.09114,1.08617,1.0907,91617
2024-07-14 21:00:00,1.08854,1.09224,1.08834,1.08948,84426
2024-07-15 21:00:00,1.08952,1.09056,1.08716,1.08986,80616
2024-07-16 21:00:00,1.08996,1.09482,1.08952,1.09396,93470
2024-07-17 21:00:00,1.09393,1.0941,1.08936,1.08964,91247
2024-07-18 21:00:00,1.08993,1.09018,1.08758,1.08821,85335
2024-07-21 21:00:00,1.08847,1.0903,1.08732,1.08908,80609
2024-07-22 21:00:00,1.08903,1.08968,1.08439,1.08535,74317
2024-07-23 21:00:00,1.08538,1.08666,1.08256,1.084,90188
2024-07-24 21:00:00,1.08412,1.087,1.08284,1.08452,109531
2024-07-25 21:00:00,1.0846,1.08682,1.08422,1.08558,80400
2024-07-28 21:00:00,1.08592,1.087,1.08028,1.08212,79601
2024-07-29 21:00:00,1.08227,1.08358,1.07982,1.0815,84034
2024-07-30 21:00:00,1.08148,1.08496,1.08019,1.08264,116762
2024-07-31 21:00:00,1.08248,1.08354,1.07774,1.07916,117083
